rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.0761211,0.0728548,0.135829,0.118854,0.120468,0.190751,0.124566,0.139023,0.0733215,0.143754,0.113795,0.116616,0.117214,0.150328,0.143668,0.504252,0.226223,0.836905
0.619231,0.509422,0.818028,1.25181,0.953687,0.71561,0.83127,0.551449,0.54323,0.761691,0.72439,1.34861,0.921472,1.3541,1.60964,6.38343,0.817967,12.7735
0.176139,0.124462,0.26016,0.239805,0.204358,0.190132,0.239718,0.211197,0.123194,0.225836,0.126335,0.269075,0.144528,0.290533,0.259193,0.555385,0.193089,1.18231
0.278695,0.191449,0.297985,0.392932,0.451531,0.312505,0.319203,0.259817,0.192539,0.231006,0.191156,0.316816,0.170091,0.457198,0.541025,0.873515,0.215579,2.08669
0.190677,0.216349,0.272814,0.398739,0.241027,0.198352,0.251847,0.234064,0.160919,0.350224,0.179964,0.30262,0.31623,0.435228,0.370739,0.893134,0.302955,2.56362
0.268169,0.244913,0.36898,0.470286,0.298049,0.295797,0.465285,0.237969,0.19277,0.371621,0.225893,0.374897,0.417835,0.407386,0.420215,1.12514,0.365212,2.18523
0.321717,0.27487,0.40532,0.482935,0.472227,0.570912,0.36009,0.27644,0.170076,0.421142,0.246174,0.369711,0.261137,0.343385,0.364351,0.778501,0.371164,4.98487
0.226835,0.172436,0.264431,0.354603,0.374774,0.291289,0.307112,0.289262,0.286136,0.267681,0.216386,0.219196,0.233885,0.44924,0.384099,0.606259,0.217115,0.80962
0.291146,0.37265,0.39613,0.451217,0.60139,0.528357,0.551113,0.366281,0.320214,0.446071,0.265958,0.403956,0.357308,0.338208,0.478081,0.949364,0.55712,2.44758
0.550543,0.51408,1.07944,0.70886,0.925112,0.787296,0.966632,0.641403,0.504228,0.622017,0.816108,0.701127,0.701744,1.13094,1.13507,1.92285,0.652633,6.00108
0.265776,0.174951,0.337643,0.306388,0.346677,0.389627,0.481621,0.308176,0.333843,0.281134,0.326854,0.65647,0.293461,0.454402,0.344546,1.21066,0.458263,0.783053
0.672762,0.505142,1.01427,1.22683,0.993155,0.683643,0.816536,0.95565,0.695927,0.99901,0.682833,0.800296,0.978727,1.44034,1.87082,6.50152,1.42831,4.81066
0.265338,0.244634,0.555052,0.750348,0.543681,0.433589,0.470589,0.375739,0.285703,0.511147,0.415616,0.577883,0.459433,1.01303,0.581513,2.39332,0.792489,1.98959
0.400832,0.335582,0.563185,0.535788,0.548449,0.484339,0.514245,0.421177,0.33667,0.430787,0.309863,0.505262,0.350695,0.533038,0.491862,1.45848,0.440539,1.84288
0.181847,0.127398,0.351749,0.37527,0.374258,0.273118,0.32801,0.202138,0.176171,0.246888,0.322766,0.333549,0.365021,0.427063,0.645706,1.46195,0.238719,1.22178
0.385911,0.342346,0.622148,0.532537,0.817438,0.60066,0.682915,0.53707,0.466077,0.719713,0.64411,0.887048,0.791897,1.00981,1.18042,1.43233,0.594482,4.36465
0.343387,0.248101,0.451734,0.614331,0.56102,0.584022,0.558594,0.37486,0.369225,0.385125,0.368042,0.427405,0.41374,0.418204,0.470695,2.57413,0.312051,1.66084
0.160666,0.156495,0.337391,0.329674,0.311336,0.272049,0.335023,0.194911,0.118301,0.284191,0.174494,0.236533,0.375762,0.347814,0.491535,0.70285,0.152263,2.74409
0.291933,0.231525,0.366774,0.406941,0.40768,0.368887,0.256927,0.248009,0.280033,0.296613,0.341847,0.369488,0.329184,0.454054,0.677759,1.5469,0.423919,5.35362
0.0921388,0.143121,0.159851,0.181591,0.14618,0.151202,0.135434,0.116483,0.0747627,0.150422,0.124439,0.147364,0.125858,0.177748,0.183609,0.5825,0.0756876,0.695977
0.241155,0.229252,0.281041,0.343244,0.259543,0.325738,0.28797,0.252607,0.13267,0.298693,0.2291,0.169928,0.227246,0.30823,0.483341,0.804036,0.220623,2.64846
