sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
171.831,166.301,160.871,155.405,150.381,149.163,151.517,162.796,179.078,193.935,195.574,203.503,207.6,210.48,214.692,221.652,227.228,237.519,253.798,282.34
211.906,204.238,196.049,187.241,180.59,177.539,176.581,183.818,194.81,205.324,206.21,214.266,218.502,217.921,216.652,217.755,218.719,225.725,238.235,261.647
238.384,232.757,226.06,218.472,212.35,209.053,208.182,216.037,229.484,246.192,254.847,267.974,269.741,263.484,255.044,248.814,240.965,235.991,234.491,247.387
199.075,194.556,189.748,184.124,178.792,174.656,171.636,176.653,187.593,201.343,207.659,222.693,232.712,238.519,241.85,242.317,237.631,236.048,240.238,251.388
249.65,238.412,230.327,223.488,218.973,216.474,215.095,221.735,233.801,250.191,260.617,278.445,287.846,288.435,284.326,278.547,268.629,261.641,259.106,268.336
393.162,373.089,356.399,345.762,340.763,338.286,338.665,350.733,370.63,390.801,397.747,412.734,417.887,413.363,405.407,401.392,401.134,410.333,433.927,478.681
206.807,202.602,199.78,196.33,193.393,191.316,188.949,192.529,200.159,210.913,217.685,236.201,251.547,262.385,269.857,278.553,287.348,299.668,312.762,330.211
475.769,445.484,416.504,394.012,378.915,372.07,370.515,383.513,407.347,431.687,440.078,449.494,452.662,454.267,455.686,458.32,463.106,488.715,557.982,692.39
244.299,240.973,236.775,232.171,226.737,221.655,218.021,228.72,249.73,273.304,283.759,293.986,295.394,292.695,290.867,294.649,302.486,320.623,354.435,410.269
231.59,225.122,219.29,213.859,211.741,215.685,223.111,240.442,263.25,285.296,294.481,309.415,316.537,317.001,313.779,310.306,304.926,304.957,311.804,332.873
175.636,175.854,175.422,172.835,170.304,169.737,170.214,179.474,197.605,218.408,227.601,243.737,251.34,252.476,253.082,257.71,265.24,280.808,307.519,352.523
