ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1.03089,0.952638,0.335901,0.82928,0.252386,0.0588235,1.47059, 746.866, 146.323, 117.612, 39.7161, 1,0.0629298,0.0808725,0.0499748,0.0574905,576.512,9.04004,0.872045,9.83717,1.74477,9,0.5,8.03511,1.1883,9.46384,1.17007,164.104
0.865735,0.857958,0.307769,0.465544,0.12498,0.0588235,1.47059, 791.69, 194.881, 103.18, 16.0684, 1,0.147606,0.136071,0.0959586,0.0821686,359.99,8.77507,0.792207,11.6303,2.19306,9,0.5,8.62991,1.3299,8.91765,1.04319,142.628
0.190097,0.809923,0.252219,0.16825,0.0459314,0.0588235,1.47059, 286.101, 79.4038, 28.5678, 3.50001, 0.969803,0.160112,0.173437,0.131493,0.113483,172.18,8.83302,0.951482,10.7135,2.53231,9,0.5,8.27749,1.45929,8.67717,1.15571,153.187
0.770574,0.896055,0.307166,0.433114,0.103465,0.0588235,1.47059, 708.287, 165.297, 94.6156, 19.2156, 1,0.132637,0.151171,0.126389,0.100307,336.567,9.24112,0.913284,10.4725,2.02351,9,0.5,9.02341,1.25891,9.09989,1.05614,151.389
0.499345,0.716662,0.306859,0.302761,0.118431,0.0588235,1.47059, 460.183, 139.917, 50.1972, 7.66064, 0.999529,0.216695,0.164133,0.179143,0.134594,245.715,9.4458,0.932874,13.095,2.8856,9,0.5,10.1747,1.63398,9.72732,1.124,159.412
0.332607,0.846609,0.26071,0.224632,0.0543236,0.0588235,1.47059, 462.125, 122.325, 49.9396, 10.0718, 0.999958,0.209892,0.174751,0.137295,0.144534,239.876,9.4252,0.897907,12.3529,2.6488,9,0.5,9.01518,1.57022,10.0098,1.24092,163.651
0.152447,0.972376,0.254355,0.14306,0.0405666,0.0588235,1.47059, 224.836, 47.3065, 26.6305, 12.8075, 0.999997,0.240634,0.219716,0.192967,0.182316,160.49,9.1703,0.96437,11.8126,3.15898,9,0.5,8.46372,1.41015,9.2065,1.18803,144.164
0.254657,0.96492,0.253021,0.18512,0.047102,0.0588235,1.47059, 380.358, 82.0723, 44.3572, 11.6336, 0.999991,0.257381,0.191991,0.174104,0.112239,198.026,9.25239,0.989585,13.5393,3.11463,9,0.5,9.7931,1.80098,8.78331,1.19578,141.855
0.328841,0.851787,0.283115,0.210684,0.0707388,0.0588235,1.47059, 372.554, 95.5721, 43.8657, 10.295, 0.999966,0.17675,0.17558,0.12553,0.116448,189.161,9.06457,0.883006,11.1368,2.4854,9,0.5,8.18462,1.44101,8.69805,1.04238,150.214
0.25136,0.887179,0.28474,0.216528,0.0861875,0.0588235,1.47059, 280.692, 67.7308, 34.5131, 13.3038, 0.999998,0.176406,0.148476,0.160644,0.10885,184.251,9.04139,0.874796,11.5839,2.53697,9,0.5,9.61438,1.76681,8.69938,1.09252,141.939
0.729664,0.938011,0.332607,0.474761,0.184201,0.0588235,1.47059, 542.927, 113.284, 82.0554, 39.6832, 1,0.115851,0.111812,0.116463,0.0958939,305.36,9.69582,0.973044,10.6398,2.1248,9,0.5,9.20656,1.40926,9.25798,1.09065,138.79
0.233636,0.923363,0.258282,0.145833,0.0504218,0.0588235,1.47059, 332.069, 78.2554, 37.8956, 10.7639, 0.999979,0.256472,0.194899,0.208485,0.176479,149.502,9.46143,1.00461,11.8084,2.57911,9,0.5,9.27375,1.5715,9.47348,1.21799,153.031
1.80281,0.813955,0.368528,1.05934,0.358557,0.0588235,1.47059, 1010.44, 258.01, 150.174, 29.1017, 1,0.184275,0.0951168,0.0892872,0.0791802,552.005,9.49406,0.914289,13.7276,2.31581,9,0.5,9.59484,1.4299,9.65907,1.04297,149.784
